,agency_cd,site_no,Date,Q,Flow_Inst_cd,tz_cd
370,USGS,1589352,1/31/2013 6:50,3930,A,UTC
371,USGS,1589352,1/31/2013 6:55,4000,A,UTC
372,USGS,1589352,1/31/2013 7:00,4180,A,UTC
373,USGS,1589352,1/31/2013 7:05,4320,A,UTC
374,USGS,1589352,1/31/2013 7:10,4460,A,UTC
375,USGS,1589352,1/31/2013 7:15,4620,A,UTC
376,USGS,1589352,1/31/2013 7:20,4740,A,UTC
377,USGS,1589352,1/31/2013 7:25,4850,A,UTC
378,USGS,1589352,1/31/2013 7:30,4990,A,UTC
379,USGS,1589352,1/31/2013 7:35,5120,A,UTC
380,USGS,1589352,1/31/2013 7:40,5180,A,UTC
381,USGS,1589352,1/31/2013 7:45,5260,A,UTC
382,USGS,1589352,1/31/2013 7:50,5250,A,UTC
383,USGS,1589352,1/31/2013 7:55,5230,A,UTC
384,USGS,1589352,1/31/2013 8:00,5140,A,UTC
385,USGS,1589352,1/31/2013 8:05,5070,A,UTC
386,USGS,1589352,1/31/2013 8:10,4950,A,UTC
387,USGS,1589352,1/31/2013 8:15,4840,A,UTC
388,USGS,1589352,1/31/2013 8:20,4770,A,UTC
389,USGS,1589352,1/31/2013 8:25,4700,A,UTC
390,USGS,1589352,1/31/2013 8:30,4640,A,UTC
391,USGS,1589352,1/31/2013 8:35,4590,A,UTC
392,USGS,1589352,1/31/2013 8:40,4530,A,UTC
393,USGS,1589352,1/31/2013 8:45,4460,A,UTC
394,USGS,1589352,1/31/2013 8:50,4340,A,UTC
395,USGS,1589352,1/31/2013 8:55,4280,A,UTC
396,USGS,1589352,1/31/2013 9:00,4180,A,UTC
397,USGS,1589352,1/31/2013 9:05,4090,A,UTC
398,USGS,1589352,1/31/2013 9:10,3990,A,UTC
399,USGS,1589352,1/31/2013 9:15,3910,A,UTC
400,USGS,1589352,1/31/2013 9:20,3800,A,UTC
401,USGS,1589352,1/31/2013 9:25,3710,A,UTC
