reach,STA,profile,hr,min,RtopW_ft,LtopW_ft
1,159450,1-Sep-08,13,40,,
1,159450,1-Sep-08,13,45,,
1,159450,1-Sep-08,13,50,,
1,159450,1-Sep-08,13,55,,
1,159450,1-Sep-08,14,0,,
1,159450,1-Sep-08,14,5,,
1,159450,1-Sep-08,14,10,,
1,159450,1-Sep-08,14,15,,
1,159450,1-Sep-08,14,20,,
1,159450,1-Sep-08,14,25,,
1,159450,1-Sep-08,14,30,,
1,159450,1-Sep-08,14,35,,
1,159450,1-Sep-08,14,40,,
1,159450,1-Sep-08,14,45,,
1,159450,1-Sep-08,14,50,,
1,159450,1-Sep-08,14,55,,
1,159450,1-Sep-08,15,0,,
1,159450,1-Sep-08,15,5,,
1,159450,1-Sep-08,15,10,,
1,159450,1-Sep-08,15,15,,
1,159450,1-Sep-08,15,20,,
1,159450,1-Sep-08,15,25,,
1,159450,1-Sep-08,15,30,,
1,159450,1-Sep-08,15,35,,
1,159450,1-Sep-08,15,40,,
1,159450,1-Sep-08,15,45,,
1,159450,1-Sep-08,15,50,,
1,159450,1-Sep-08,15,55,,
1,159450,1-Sep-08,16,0,,
1,159450,1-Sep-08,16,5,,
1,159450,1-Sep-08,16,10,,
1,159450,1-Sep-08,16,15,,
1,159450,1-Sep-08,16,20,,
1,159450,1-Sep-08,16,25,,
1,159450,1-Sep-08,16,30,,
1,159450,1-Sep-08,16,35,,
1,159450,1-Sep-08,16,40,,
1,159450,1-Sep-08,16,45,,
1,159450,1-Sep-08,16,50,,
1,159450,1-Sep-08,16,55,,
1,159450,1-Sep-08,17,0,,
1,159450,1-Sep-08,17,5,,
1,159450,1-Sep-08,17,10,,
1,159450,1-Sep-08,17,15,,
1,159450,1-Sep-08,17,20,,
1,159450,1-Sep-08,17,25,,
1,159450,1-Sep-08,17,30,,
1,159450,1-Sep-08,17,35,,
1,159450,1-Sep-08,17,40,,
1,159450,1-Sep-08,17,45,,
1,159450,1-Sep-08,17,50,,
1,159450,1-Sep-08,17,55,,
1,159450,1-Sep-08,18,0,,
1,159450,1-Sep-08,18,5,,
1,159450,1-Sep-08,18,10,,
1,159450,1-Sep-08,18,15,,
1,159450,1-Sep-08,18,20,,
1,159450,1-Sep-08,18,25,,
1,159450,1-Sep-08,18,30,,
1,159450,1-Sep-08,18,35,,
1,159450,1-Sep-08,18,40,,
1,159450,1-Sep-08,18,45,,
1,159450,1-Sep-08,18,50,,
1,159450,1-Sep-08,18,55,,
1,159450,1-Sep-08,19,0,,
1,159450,1-Sep-08,19,5,,
1,159450,1-Sep-08,19,10,,
1,159450,1-Sep-08,19,15,,
1,159450,1-Sep-08,19,20,,
1,159450,1-Sep-08,19,25,,
1,159450,1-Sep-08,19,30,,
1,159450,1-Sep-08,19,35,,
1,159450,1-Sep-08,19,40,,
1,159450,1-Sep-08,19,45,,
1,159450,1-Sep-08,19,50,,
1,159450,1-Sep-08,19,55,,
1,159450,1-Sep-08,20,0,,
1,159450,1-Sep-08,20,5,,
1,159450,1-Sep-08,20,10,,
1,159450,1-Sep-08,20,15,,
1,159450,1-Sep-08,20,20,,
1,159450,1-Sep-08,20,25,,
1,159450,1-Sep-08,20,30,,
1,159450,1-Sep-08,20,35,,
1,159450,1-Sep-08,20,40,,
1,159450,1-Sep-08,20,45,,
1,159450,1-Sep-08,20,50,,
1,159450,1-Sep-08,20,55,,
1,159450,1-Sep-08,21,0,,
1,159450,1-Sep-08,21,5,,
1,159450,1-Sep-08,21,10,,
1,159450,1-Sep-08,21,15,,
1,159450,1-Sep-08,21,20,,
1,159450,1-Sep-08,21,25,,
1,159450,1-Sep-08,21,30,,
1,159450,1-Sep-08,21,35,,
1,159450,1-Sep-08,21,40,,
1,159450,1-Sep-08,21,45,,
1,159450,1-Sep-08,21,50,,
1,159450,1-Sep-08,21,55,,
1,159450,1-Sep-08,22,0,,
1,159450,1-Sep-08,22,5,,
1,159450,1-Sep-08,22,10,,
1,159450,1-Sep-08,22,15,,
1,159450,1-Sep-08,22,20,,
1,159450,1-Sep-08,22,25,,
1,159450,1-Sep-08,22,30,,
1,159450,1-Sep-08,22,35,,
1,159450,1-Sep-08,22,40,,
1,159450,1-Sep-08,22,45,,
1,159450,1-Sep-08,22,50,,
1,159450,1-Sep-08,22,55,,
1,159450,1-Sep-08,23,0,,
1,159450,1-Sep-08,23,5,,
1,159450,1-Sep-08,23,10,,
1,159450,1-Sep-08,23,15,,
1,159450,1-Sep-08,23,20,,
1,159450,1-Sep-08,23,25,,
1,159450,1-Sep-08,23,30,,
1,159450,1-Sep-08,23,35,,
1,159450,1-Sep-08,23,40,,
1,159450,1-Sep-08,23,45,,
1,159450,1-Sep-08,23,50,,
1,159450,1-Sep-08,23,55,,
1,159450,2-Sep-08,0,0,,
1,159450,2-Sep-08,0,5,,
1,159450,2-Sep-08,0,10,,
1,159450,2-Sep-08,0,15,,
1,159450,2-Sep-08,0,20,,
1,159450,2-Sep-08,0,25,,
1,159450,2-Sep-08,0,30,,
1,159450,2-Sep-08,0,35,,
1,159450,2-Sep-08,0,40,,
1,159450,2-Sep-08,0,45,,
1,159450,2-Sep-08,0,50,,
1,159450,2-Sep-08,0,55,,
,,,,,,
1,159400,1-Sep-08,0,0,,
1,159400,1-Sep-08,0,5,,
1,159400,1-Sep-08,0,10,,
1,159400,1-Sep-08,0,15,,
1,159400,1-Sep-08,0,20,,
1,159400,1-Sep-08,0,25,,
1,159400,1-Sep-08,0,30,,
1,159400,1-Sep-08,0,35,,
1,159400,1-Sep-08,0,40,,
1,159400,1-Sep-08,0,45,,
1,159400,1-Sep-08,0,50,,
1,159400,1-Sep-08,0,55,,
1,159400,1-Sep-08,1,0,,
1,159400,1-Sep-08,1,5,,
1,159400,1-Sep-08,1,10,,
1,159400,1-Sep-08,1,15,,
1,159400,1-Sep-08,1,20,,
1,159400,1-Sep-08,1,25,,
1,159400,1-Sep-08,1,30,,
1,159400,1-Sep-08,1,35,,
1,159400,1-Sep-08,1,40,,
1,159400,1-Sep-08,1,45,,
1,159400,1-Sep-08,1,50,,
1,159400,1-Sep-08,1,55,,
1,159400,1-Sep-08,2,0,,
1,159400,1-Sep-08,2,5,,
1,159400,1-Sep-08,2,10,,
1,159400,1-Sep-08,2,15,,
1,159400,1-Sep-08,2,20,,
1,159400,1-Sep-08,2,25,,
1,159400,1-Sep-08,2,30,,
1,159400,1-Sep-08,2,35,,
1,159400,1-Sep-08,2,40,,
1,159400,1-Sep-08,2,45,,
1,159400,1-Sep-08,2,50,,
1,159400,1-Sep-08,2,55,,
1,159400,1-Sep-08,3,0,,
1,159400,1-Sep-08,3,5,,
1,159400,1-Sep-08,3,10,,
1,159400,1-Sep-08,3,15,,
1,159400,1-Sep-08,3,20,,
1,159400,1-Sep-08,3,25,,
1,159400,1-Sep-08,3,30,,
1,159400,1-Sep-08,3,35,,
1,159400,1-Sep-08,3,40,,
1,159400,1-Sep-08,3,45,,
1,159400,1-Sep-08,3,50,,
1,159400,1-Sep-08,3,55,,
1,159400,1-Sep-08,4,0,,
1,159400,1-Sep-08,4,5,,
1,159400,1-Sep-08,4,10,,
1,159400,1-Sep-08,4,15,,
1,159400,1-Sep-08,4,20,,
1,159400,1-Sep-08,4,25,,
1,159400,1-Sep-08,4,30,,
1,159400,1-Sep-08,4,35,,
1,159400,1-Sep-08,4,40,,
1,159400,1-Sep-08,4,45,,
1,159400,1-Sep-08,4,50,,
1,159400,1-Sep-08,4,55,,
1,159400,1-Sep-08,5,0,,
1,159400,1-Sep-08,5,5,,
1,159400,1-Sep-08,5,10,,
1,159400,1-Sep-08,5,15,,
1,159400,1-Sep-08,5,20,,
1,159400,1-Sep-08,5,25,,
1,159400,1-Sep-08,5,30,,
1,159400,1-Sep-08,5,35,,
1,159400,1-Sep-08,5,40,,
1,159400,1-Sep-08,5,45,,
1,159400,1-Sep-08,5,50,,
1,159400,1-Sep-08,5,55,,
1,159400,1-Sep-08,6,0,,
1,159400,1-Sep-08,6,5,,
1,159400,1-Sep-08,6,10,,
1,159400,1-Sep-08,6,15,,
1,159400,1-Sep-08,6,20,,
1,159400,1-Sep-08,6,25,,
1,159400,1-Sep-08,6,30,,
1,159400,1-Sep-08,6,35,,
1,159400,1-Sep-08,6,40,,
1,159400,1-Sep-08,6,45,,
1,159400,1-Sep-08,6,50,,
1,159400,1-Sep-08,6,55,,
1,159400,1-Sep-08,7,0,,
1,159400,1-Sep-08,7,5,,
1,159400,1-Sep-08,7,10,,
1,159400,1-Sep-08,7,15,,
1,159400,1-Sep-08,7,20,,
1,159400,1-Sep-08,7,25,,
1,159400,1-Sep-08,7,30,,
1,159400,1-Sep-08,7,35,,
1,159400,1-Sep-08,7,40,,
1,159400,1-Sep-08,7,45,,
1,159400,1-Sep-08,7,50,,
1,159400,1-Sep-08,7,55,,
1,159400,1-Sep-08,8,0,,
1,159400,1-Sep-08,8,5,,
1,159400,1-Sep-08,8,10,,
1,159400,1-Sep-08,8,15,,
1,159400,1-Sep-08,8,20,,
1,159400,1-Sep-08,8,25,,
1,159400,1-Sep-08,8,30,,
1,159400,1-Sep-08,8,35,,
1,159400,1-Sep-08,8,40,,
1,159400,1-Sep-08,8,45,,
1,159400,1-Sep-08,8,50,,
1,159400,1-Sep-08,8,55,,
1,159400,1-Sep-08,9,0,,
1,159400,1-Sep-08,9,5,,
1,159400,1-Sep-08,9,10,,
1,159400,1-Sep-08,9,15,,
1,159400,1-Sep-08,9,20,,
1,159400,1-Sep-08,9,25,,
1,159400,1-Sep-08,9,30,,
1,159400,1-Sep-08,9,35,,
1,159400,1-Sep-08,9,40,,
1,159400,1-Sep-08,9,45,,
1,159400,1-Sep-08,9,50,,
1,159400,1-Sep-08,9,55,,
1,159400,1-Sep-08,10,0,,
1,159400,1-Sep-08,10,5,,
1,159400,1-Sep-08,10,10,,
1,159400,1-Sep-08,10,15,,
1,159400,1-Sep-08,10,20,,
1,159400,1-Sep-08,10,25,,
1,159400,1-Sep-08,10,30,,
1,159400,1-Sep-08,10,35,,
