reach,STA,profile,hr,min,RtopW_ft,LtopW_ft
1,159350,1-Sep-08,23,0,,
1,159350,1-Sep-08,23,15,,
1,159350,1-Sep-08,23,30,,
1,159350,1-Sep-08,23,45,,
1,159350,2-Sep-08,0,0,,
1,159350,2-Sep-08,0,15,,
1,159350,2-Sep-08,0,30,,
1,159350,2-Sep-08,0,45,,
1,159350,2-Sep-08,1,0,,
1,159350,2-Sep-08,1,15,,
1,159350,2-Sep-08,1,30,,
1,159350,2-Sep-08,1,45,,
1,159350,2-Sep-08,2,0,,
1,159350,2-Sep-08,2,15,,
1,159350,2-Sep-08,2,30,,
1,159350,2-Sep-08,2,45,,
1,159350,2-Sep-08,3,0,,
1,159350,2-Sep-08,3,15,,
1,159350,2-Sep-08,3,30,,
1,159350,2-Sep-08,3,45,,
1,159350,2-Sep-08,4,0,,
1,159350,2-Sep-08,4,15,,
1,159350,2-Sep-08,4,30,,
1,159350,2-Sep-08,4,45,,
1,159350,2-Sep-08,5,0,,
1,159350,2-Sep-08,5,15,,
1,159350,2-Sep-08,5,30,,
1,159350,2-Sep-08,5,45,,
1,159350,2-Sep-08,6,0,,
1,159350,2-Sep-08,6,15,,
1,159350,2-Sep-08,6,30,,
1,159350,2-Sep-08,6,45,,
1,159350,2-Sep-08,7,0,,
1,159350,2-Sep-08,7,15,,
1,159350,2-Sep-08,7,30,,
1,159350,2-Sep-08,7,45,,
1,159350,2-Sep-08,8,0,,
1,159350,2-Sep-08,8,15,,
1,159350,2-Sep-08,8,30,,
1,159350,2-Sep-08,8,45,,
1,159350,2-Sep-08,9,0,,
1,159350,2-Sep-08,9,15,,
1,159350,2-Sep-08,9,30,,
1,159350,2-Sep-08,9,45,,
1,159350,2-Sep-08,10,0,,
1,159350,2-Sep-08,10,15,,
1,159350,2-Sep-08,10,30,,
1,159350,2-Sep-08,10,45,,
1,159350,2-Sep-08,11,0,,
1,159350,2-Sep-08,11,15,,
1,159350,2-Sep-08,11,30,,
1,159350,2-Sep-08,11,45,,
1,159350,2-Sep-08,12,0,,
1,159350,2-Sep-08,12,15,,
1,159350,2-Sep-08,12,30,,
1,159350,2-Sep-08,12,45,,
