storm,plan,river,removal_k10_g,removal_km_g,removal_k90_g,order,percentRest,k10_percentWLR,km_percentWLR,k90_percentWLR,k10_percentOLR,km_percentOLR,k90_percentOLR,rank
Qm,3rd-100p,4-1,0,0,0,4th,100,0,0,0,0,0,0,4
Qm,3rd-20p,1-7,0,0,0,1st,20,0,0,0,0,0,0,4
Qm,3rd-20p,2-2,0,0,0,2nd,20,0,0,0,0,0,0,4
Qm,3rd-20p,3-1,0,0,0,3rd,20,0,0,0,0,0,0,4
Qm,3rd-20p,4-1,0,0,0,4th,20,0,0,0,0,0,0,4
Qm,3rd-40p,1-7,0,0,0,1st,40,0,0,0,0,0,0,4
Qm,3rd-40p,2-2,0,0,0,2nd,40,0,0,0,0,0,0,4
Qm,3rd-40p,3-1,0,0,0,3rd,40,0,0,0,0,0,0,4
Qm,3rd-40p,4-1,0,0,0,4th,40,0,0,0,0,0,0,4
Qm,3rd-60p,1-7,0,0,0,1st,60,0,0,0,0,0,0,4
Qm,3rd-60p,2-2,0,0,0,2nd,60,0,0,0,0,0,0,4
Qm,3rd-60p,3-1,0,0,0,3rd,60,0,0,0,0,0,0,4
Qm,3rd-60p,4-1,0,0,0,4th,60,0,0,0,0,0,0,4
Qm,3rd-80p,1-7,0,0,0,1st,80,0,0,0,0,0,0,4
Qm,3rd-80p,2-2,0,0,0,2nd,80,0,0,0,0,0,0,4
Qm,3rd-80p,3-1,0,0,0,3rd,80,0,0,0,0,0,0,4
Qm,3rd-80p,4-1,0,0,0,4th,80,0,0,0,0,0,0,4
Qm,unr,1-7,0,0,0,1st,0,0,0,0,0,0,0,4
Qm,unr,2-2,0,0,0,2nd,0,0,0,0,0,0,0,4
Qm,unr,3-1,0,0,0,3rd,0,0,0,0,0,0,0,4
Qm,unr,4-1,0,0,0,4th,0,0,0,0,0,0,0,4
Q2,4th-100p,1-7,12.735,115.949,2471.04,1st,100,0,0.003,0.062,0.009,0.082,1.741,1
Q2,4th-100p,2-2,30.98,282.056,6011.021,2nd,100,0.001,0.007,0.151,0.026,0.234,4.985,1
Q2,4th-100p,3-1,97.901,891.336,18995.681,3rd,100,0.002,0.022,0.477,0.014,0.131,2.792,1
Q2,4th-100p,4-1,3091.832,28139.803,599700.725,4th,100,0.078,0.706,15.044,0.085,0.777,16.565,1
Q2,4th-20p,1-7,12.735,115.949,2471.04,1st,20,0,0.003,0.062,0.009,0.082,1.741,1
Q2,4th-20p,2-2,30.98,282.056,6011.021,2nd,20,0.001,0.007,0.151,0.026,0.234,4.985,1
Q2,4th-20p,3-1,97.901,891.336,18995.681,3rd,20,0.002,0.022,0.477,0.014,0.131,2.792,1
Q2,4th-20p,4-1,1042.562,9489.008,202224.75,4th,20,0.026,0.238,5.073,0.029,0.262,5.586,1
Q2,4th-40p,1-7,12.735,115.949,2471.04,1st,40,0,0.003,0.062,0.009,0.082,1.741,1
Q2,4th-40p,2-2,30.98,282.056,6011.021,2nd,40,0.001,0.007,0.151,0.026,0.234,4.985,1
Q2,4th-40p,3-1,97.901,891.336,18995.681,3rd,40,0.002,0.022,0.477,0.014,0.131,2.792,1
Q2,4th-40p,4-1,1457.548,13267.523,282750.487,4th,40,0.037,0.333,7.093,0.04,0.366,7.81,1
Q2,4th-60p,1-7,12.735,115.949,2471.04,1st,60,0,0.003,0.062,0.009,0.082,1.741,1
Q2,4th-60p,2-2,30.98,282.056,6011.021,2nd,60,0.001,0.007,0.151,0.026,0.234,4.985,1
Q2,4th-60p,3-1,97.901,891.336,18995.681,3rd,60,0.002,0.022,0.477,0.014,0.131,2.792,1
Q2,4th-60p,4-1,1928.329,17553.932,374100.188,4th,60,0.048,0.44,9.384,0.053,0.485,10.334,1
Q2,4th-80p,1-7,12.735,115.949,2471.04,1st,80,0,0.003,0.062,0.009,0.082,1.741,1
Q2,4th-80p,2-2,30.98,282.056,6011.021,2nd,80,0.001,0.007,0.151,0.026,0.234,4.985,1
Q2,4th-80p,3-1,97.901,891.336,18995.681,3rd,80,0.002,0.022,0.477,0.014,0.131,2.792,1
Q2,4th-80p,4-1,2494.427,22708.049,483942.03,4th,80,0.063,0.57,12.14,0.069,0.627,13.368,1
Q2,unr,1-7,12.735,115.949,2471.04,1st,0,0,0.003,0.062,0.009,0.082,1.741,1
Q2,unr,2-2,30.98,282.056,6011.021,2nd,0,0.001,0.007,0.151,0.026,0.234,4.985,1
Q2,unr,3-1,98.24,894.424,19061.494,3rd,0,0.002,0.022,0.478,0.014,0.131,2.801,1
Q2,unr,4-1,686.102,6243.626,133060.882,4th,0,0.017,0.157,3.338,0.019,0.172,3.676,1
Q1,4th-100p,1-7,3.814,34.724,740.025,1st,100,0,0.001,0.02,0.004,0.034,0.719,2
Q1,4th-100p,2-2,10.835,98.648,2102.344,2nd,100,0,0.003,0.058,0.009,0.078,1.667,2
Q1,4th-100p,3-1,48.21,438.926,9354.15,3rd,100,0.001,0.012,0.256,0.007,0.065,1.375,2
Q1,4th-100p,4-1,2838.676,25835.543,550593.55,4th,100,0.078,0.707,15.071,0.099,0.898,19.128,2
Q1,4th-20p,1-7,3.814,34.724,740.025,1st,20,0,0.001,0.02,0.004,0.034,0.719,2
Q1,4th-20p,2-2,10.835,98.648,2102.344,2nd,20,0,0.003,0.058,0.009,0.078,1.667,2
Q1,4th-20p,3-1,48.187,438.72,9349.762,3rd,20,0.001,0.012,0.256,0.007,0.064,1.374,2
Q1,4th-20p,4-1,710.236,6464.309,137763.957,4th,20,0.019,0.177,3.771,0.025,0.225,4.786,2
Q1,4th-40p,1-7,3.814,34.724,740.025,1st,40,0,0.001,0.02,0.004,0.034,0.719,2
Q1,4th-40p,2-2,10.835,98.648,2102.344,2nd,40,0,0.003,0.058,0.009,0.078,1.667,2
Q1,4th-40p,3-1,48.187,438.72,9349.762,3rd,40,0.001,0.012,0.256,0.007,0.064,1.374,2
Q1,4th-40p,4-1,1117.251,10170.355,216745.263,4th,40,0.031,0.278,5.933,0.039,0.353,7.53,2
Q1,4th-60p,1-7,3.814,34.724,740.025,1st,60,0,0.001,0.02,0.004,0.034,0.719,2
Q1,4th-60p,2-2,10.835,98.648,2102.344,2nd,60,0,0.003,0.058,0.009,0.078,1.667,2
Q1,4th-60p,3-1,48.187,438.72,9349.762,3rd,60,0.001,0.012,0.256,0.007,0.064,1.374,2
Q1,4th-60p,4-1,1616.47,14715.579,313610.7,4th,60,0.044,0.403,8.584,0.056,0.511,10.895,2
Q1,4th-80p,1-7,3.814,34.724,740.025,1st,80,0,0.001,0.02,0.004,0.034,0.719,2
Q1,4th-80p,2-2,10.835,98.648,2102.344,2nd,80,0,0.003,0.058,0.009,0.078,1.667,2
Q1,4th-80p,3-1,48.187,438.72,9349.762,3rd,80,0.001,0.012,0.256,0.007,0.064,1.374,2
Q1,4th-80p,4-1,2200.48,20032.78,426928.093,4th,80,0.06,0.548,11.686,0.076,0.696,14.832,2
Q1,unr,1-7,3.814,34.724,740.025,1st,0,0,0.001,0.02,0.004,0.034,0.719,2
Q1,unr,2-2,10.835,98.648,2102.344,2nd,0,0,0.003,0.058,0.009,0.078,1.667,2
Q1,unr,3-1,48.312,439.852,9373.894,3rd,0,0.001,0.012,0.257,0.007,0.065,1.378,2
Q1,unr,4-1,393.735,3582.829,76355.37,4th,0,0.011,0.098,2.09,0.014,0.124,2.653,2
Q0.5,4th-100p,1-7,1.393,12.682,270.27,1st,100,0,0.001,0.014,0.002,0.014,0.295,3
Q0.5,4th-100p,2-2,0.052,0.474,10.091,2nd,100,0,0,0.001,0,0.001,0.014,3
Q0.5,4th-100p,3-1,0,0,0,3rd,100,0,0,0,0,0,0,3
Q0.5,4th-100p,4-1,2176.281,19806.464,422104.963,4th,100,0.112,1.016,21.648,0.123,1.119,23.838,3
Q0.5,4th-20p,1-7,1.393,12.682,270.27,1st,20,0,0.001,0.014,0.002,0.014,0.295,3
Q0.5,4th-20p,2-2,0.052,0.474,10.091,2nd,20,0,0,0.001,0,0.001,0.014,3
Q0.5,4th-20p,3-1,0,0,0,3rd,20,0,0,0,0,0,0,3
Q0.5,4th-20p,4-1,241.999,2203.273,46954.992,4th,20,0.012,0.113,2.408,0.014,0.124,2.652,3
Q0.5,4th-40p,1-7,1.393,12.682,270.27,1st,40,0,0.001,0.014,0.002,0.014,0.295,3
Q0.5,4th-40p,2-2,0.052,0.474,10.091,2nd,40,0,0,0.001,0,0.001,0.014,3
Q0.5,4th-40p,3-1,0,0,0,3rd,40,0,0,0,0,0,0,3
Q0.5,4th-40p,4-1,530.951,4834.029,103020.288,4th,40,0.027,0.248,5.283,0.03,0.273,5.818,3
Q0.5,4th-60p,1-7,1.393,12.682,270.27,1st,60,0,0.001,0.014,0.002,0.014,0.295,3
Q0.5,4th-60p,2-2,0.052,0.474,10.091,2nd,60,0,0,0.001,0,0.001,0.014,3
Q0.5,4th-60p,3-1,0,0,0,3rd,60,0,0,0,0,0,0,3
Q0.5,4th-60p,4-1,965.993,8794.866,187431.562,4th,60,0.05,0.451,9.612,0.055,0.497,10.585,3
Q0.5,4th-80p,1-7,1.393,12.682,270.27,1st,80,0,0.001,0.014,0.002,0.014,0.295,3
Q0.5,4th-80p,2-2,0.052,0.474,10.091,2nd,80,0,0,0.001,0,0.001,0.014,3
Q0.5,4th-80p,3-1,0,0,0,3rd,80,0,0,0,0,0,0,3
Q0.5,4th-80p,4-1,1517.663,13817.529,294471.938,4th,80,0.078,0.709,15.102,0.086,0.78,16.63,3
Q0.5,unr,1-7,0,0,0,1st,0,0,0,0,0,0,0,3
Q0.5,unr,2-2,0.052,0.474,10.091,2nd,0,0,0,0.001,0,0.001,0.014,3
Q0.5,unr,3-1,0.317,2.882,61.425,3rd,0,0,0,0.003,0,0,0.009,3
Q0.5,unr,4-1,5.129,46.692,995.085,4th,0,0,0.002,0.051,0,0.003,0.056,3
Qm,4th-100p,1-7,0,0,0,1st,100,0,0,0,0,0,0,4
Qm,4th-100p,2-2,0,0,0,2nd,100,0,0,0,0,0,0,4
Qm,4th-100p,3-1,0,0,0,3rd,100,0,0,0,0,0,0,4
Qm,4th-100p,4-1,0,0,0,4th,100,0,0,0,0,0,0,4
Qm,4th-20p,1-7,0,0,0,1st,20,0,0,0,0,0,0,4
Qm,4th-20p,2-2,0,0,0,2nd,20,0,0,0,0,0,0,4
Qm,4th-20p,3-1,0,0,0,3rd,20,0,0,0,0,0,0,4
Qm,4th-20p,4-1,0,0,0,4th,20,0,0,0,0,0,0,4
Qm,4th-40p,1-7,0,0,0,1st,40,0,0,0,0,0,0,4
Qm,4th-40p,2-2,0,0,0,2nd,40,0,0,0,0,0,0,4
Qm,4th-40p,3-1,0,0,0,3rd,40,0,0,0,0,0,0,4
Qm,4th-40p,4-1,0,0,0,4th,40,0,0,0,0,0,0,4
Qm,4th-60p,1-7,0,0,0,1st,60,0,0,0,0,0,0,4
Qm,4th-60p,2-2,0,0,0,2nd,60,0,0,0,0,0,0,4
Qm,4th-60p,3-1,0,0,0,3rd,60,0,0,0,0,0,0,4
Qm,4th-60p,4-1,0,0,0,4th,60,0,0,0,0,0,0,4
Qm,4th-80p,1-7,0,0,0,1st,80,0,0,0,0,0,0,4
Qm,4th-80p,2-2,0,0,0,2nd,80,0,0,0,0,0,0,4
Qm,4th-80p,3-1,0,0,0,3rd,80,0,0,0,0,0,0,4
Qm,4th-80p,4-1,0,0,0,4th,80,0,0,0,0,0,0,4
Qm,unr,1-7,0,0,0,1st,0,0,0,0,0,0,0,4
Qm,unr,2-2,0,0,0,2nd,0,0,0,0,0,0,0,4
Qm,unr,3-1,0,0,0,3rd,0,0,0,0,0,0,0,4
Qm,unr,4-1,0,0,0,4th,0,0,0,0,0,0,0,4
