storm,plan,river,removal_k10_g,removal_km_g,removal_k90_g,order,percentRest,k10_percentWLR,km_percentWLR,k90_percentWLR,k10_percentOLR,km_percentOLR,k90_percentOLR,rank
Q2,unr,4-1,686.102,6243.626,133060.882,4th,0,0.017,0.157,3.338,0.019,0.172,3.676,1
Q1,1st-100p,1-7,18.572,169.092,3603.6,1st,100,0.001,0.005,0.099,0.018,0.164,3.5,2
Q1,1st-100p,2-2,0.121,1.105,23.546,2nd,100,0,0,0.001,0,0.001,0.019,2
Q1,1st-100p,3-1,53.309,485.35,10343.531,3rd,100,0.001,0.013,0.283,0.008,0.071,1.52,2
Q1,1st-100p,4-1,402.008,3658.152,77960.61,4th,100,0.011,0.1,2.134,0.014,0.127,2.708,2
Q1,1st-20p,1-7,4.308,39.226,835.965,1st,20,0,0.001,0.023,0.004,0.038,0.812,2
Q1,1st-20p,2-2,10.315,93.913,2001.431,2nd,20,0,0.003,0.055,0.008,0.074,1.587,2
Q1,1st-20p,3-1,49.352,449.322,9575.719,3rd,20,0.001,0.012,0.262,0.007,0.066,1.407,2
Q1,1st-20p,4-1,402.726,3664.685,78099.84,4th,20,0.011,0.1,2.138,0.014,0.127,2.713,2
Q1,1st-40p,1-7,11.758,107.055,2281.5,1st,40,0,0.003,0.062,0.011,0.104,2.216,2
Q1,1st-40p,2-2,6.778,61.714,1315.226,2nd,40,0,0.002,0.036,0.005,0.049,1.043,2
Q1,1st-40p,3-1,49.284,448.705,9562.556,3rd,40,0.001,0.012,0.262,0.007,0.066,1.405,2
Q1,1st-40p,4-1,402.156,3659.497,77989.275,4th,40,0.011,0.1,2.135,0.014,0.127,2.709,2
Q1,1st-60p,1-7,26.565,241.862,5154.435,1st,60,0.001,0.007,0.141,0.026,0.235,5.006,2
Q1,1st-60p,2-2,4.976,45.299,965.396,2nd,60,0,0.001,0.026,0.004,0.036,0.765,2
Q1,1st-60p,3-1,51.342,467.439,9961.819,3rd,60,0.001,0.013,0.273,0.008,0.069,1.464,2
Q1,1st-60p,4-1,404.709,3682.747,78484.77,4th,60,0.011,0.101,2.148,0.014,0.128,2.727,2
Q1,1st-80p,1-7,46.069,419.436,8938.8,1st,80,0.001,0.011,0.245,0.045,0.407,8.681,2
Q1,1st-80p,2-2,1.37,12.469,265.736,2nd,80,0,0,0.007,0.001,0.01,0.211,2
Q1,1st-80p,3-1,53.693,488.85,10418.119,3rd,80,0.001,0.013,0.285,0.008,0.072,1.531,2
Q1,1st-80p,4-1,407.854,3711.281,79092.878,4th,80,0.011,0.102,2.165,0.014,0.129,2.748,2
Q1,unr,1-7,3.814,34.724,740.025,1st,0,0,0.001,0.02,0.004,0.034,0.719,2
Q1,unr,2-2,10.835,98.648,2102.344,2nd,0,0,0.003,0.058,0.009,0.078,1.667,2
Q1,unr,3-1,48.312,439.852,9373.894,3rd,0,0.001,0.012,0.257,0.007,0.065,1.378,2
Q1,unr,4-1,393.735,3582.829,76355.37,4th,0,0.011,0.098,2.09,0.014,0.124,2.653,2
Q0.5,1st-100p,1-7,2.05,18.666,397.8,1st,100,0,0.001,0.02,0.002,0.02,0.435,3
Q0.5,1st-100p,2-2,0,0,0,2nd,100,0,0,0,0,0,0,3
Q0.5,1st-100p,3-1,0.271,2.47,52.65,3rd,100,0,0,0.003,0,0,0.008,3
Q0.5,1st-100p,4-1,13.613,123.937,2641.275,4th,100,0.001,0.006,0.135,0.001,0.007,0.149,3
Q0.5,1st-20p,1-7,1.013,9.223,196.56,1st,20,0,0,0.01,0.001,0.01,0.215,3
Q0.5,1st-20p,2-2,0.052,0.474,10.091,2nd,20,0,0,0.001,0,0.001,0.014,3
Q0.5,1st-20p,3-1,0.362,3.294,70.2,3rd,20,0,0,0.004,0,0,0.01,3
Q0.5,1st-20p,4-1,6.859,62.449,1330.875,4th,20,0,0.003,0.068,0,0.004,0.075,3
Q0.5,1st-40p,1-7,8.716,79.358,1691.235,1st,40,0,0.004,0.087,0.01,0.087,1.848,3
Q0.5,1st-40p,2-2,0.017,0.158,3.364,2nd,40,0,0,0,0,0,0.005,3
Q0.5,1st-40p,3-1,0.339,3.088,65.812,3rd,40,0,0,0.003,0,0,0.01,3
Q0.5,1st-40p,4-1,7.682,69.943,1490.58,4th,40,0,0.004,0.076,0,0.004,0.084,3
Q0.5,1st-60p,1-7,22.432,204.228,4352.4,1st,60,0.001,0.01,0.223,0.025,0.223,4.756,3
Q0.5,1st-60p,2-2,0,0,0,2nd,60,0,0,0,0,0,0,3
Q0.5,1st-60p,3-1,0.283,2.573,54.844,3rd,60,0,0,0.003,0,0,0.008,3
Q0.5,1st-60p,4-1,10.341,94.153,2006.55,4th,60,0.001,0.005,0.103,0.001,0.005,0.113,3
Q0.5,1st-80p,1-7,38.351,349.164,7441.2,1st,80,0.002,0.018,0.382,0.042,0.382,8.131,3
Q0.5,1st-80p,2-2,0,0,0,2nd,80,0,0,0,0,0,0,3
Q0.5,1st-80p,3-1,0.294,2.676,57.038,3rd,80,0,0,0.003,0,0,0.008,3
Q0.5,1st-80p,4-1,13.465,122.592,2612.61,4th,80,0.001,0.006,0.134,0.001,0.007,0.148,3
Q0.5,unr,1-7,0,0,0,1st,0,0,0,0,0,0,0,3
Q0.5,unr,2-2,0.052,0.474,10.091,2nd,0,0,0,0.001,0,0.001,0.014,3
Q0.5,unr,3-1,0.317,2.882,61.425,3rd,0,0,0,0.003,0,0,0.009,3
Q0.5,unr,4-1,5.129,46.692,995.085,4th,0,0,0.002,0.051,0,0.003,0.056,3
Qm,1st-100p,1-7,0.603,5.49,117,1st,100,0,0.003,0.07,0.001,0.008,0.178,4
Qm,1st-100p,2-2,0,0,0,2nd,100,0,0,0,0,0,0,4
Qm,1st-100p,3-1,0,0,0,3rd,100,0,0,0,0,0,0,4
Qm,1st-100p,4-1,0,0,0,4th,100,0,0,0,0,0,0,4
Qm,1st-20p,1-7,0,0,0,1st,20,0,0,0,0,0,0,4
Qm,1st-20p,2-2,0,0,0,2nd,20,0,0,0,0,0,0,4
Qm,1st-20p,3-1,0,0,0,3rd,20,0,0,0,0,0,0,4
Qm,1st-20p,4-1,0,0,0,4th,20,0,0,0,0,0,0,4
Qm,1st-40p,1-7,0,0,0,1st,40,0,0,0,0,0,0,4
Qm,1st-40p,2-2,0,0,0,2nd,40,0,0,0,0,0,0,4
Qm,1st-40p,3-1,0,0,0,3rd,40,0,0,0,0,0,0,4
Qm,1st-40p,4-1,0,0,0,4th,40,0,0,0,0,0,0,4
Qm,1st-60p,1-7,3.859,35.136,748.8,1st,60,0.002,0.021,0.451,0.006,0.053,1.137,4
Qm,1st-60p,2-2,0,0,0,2nd,60,0,0,0,0,0,0,4
Qm,1st-60p,3-1,0,0,0,3rd,60,0,0,0,0,0,0,4
Qm,1st-60p,4-1,0,0,0,4th,60,0,0,0,0,0,0,4
Qm,1st-80p,1-7,8.442,76.86,1638,1st,80,0.005,0.046,0.986,0.013,0.117,2.486,4
Qm,1st-80p,2-2,0,0,0,2nd,80,0,0,0,0,0,0,4
Qm,1st-80p,3-1,0,0,0,3rd,80,0,0,0,0,0,0,4
Qm,1st-80p,4-1,0,0,0,4th,80,0,0,0,0,0,0,4
Qm,unr,1-7,0,0,0,1st,0,0,0,0,0,0,0,4
Qm,unr,2-2,0,0,0,2nd,0,0,0,0,0,0,0,4
Qm,unr,3-1,0,0,0,3rd,0,0,0,0,0,0,0,4
Qm,unr,4-1,0,0,0,4th,0,0,0,0,0,0,0,4
Q0.5,2nd-100p,1-7,1.327,12.078,257.4,1st,100,0,0.001,0.013,0.001,0.013,0.281,NA
Q0.5,2nd-100p,2-2,167.853,1528.21,32568.413,2nd,100,0.009,0.078,1.67,0.225,2.05,43.693,NA
Q0.5,2nd-100p,3-1,0,0,0,3rd,100,0,0,0,0,0,0,NA
Q0.5,2nd-100p,4-1,21.696,197.53,4209.66,4th,100,0.001,0.01,0.216,0.001,0.011,0.238,NA
Q0.5,2nd-20p,1-7,1.327,12.078,257.4,1st,20,0,0.001,0.013,0.001,0.013,0.281,NA
Q0.5,2nd-20p,2-2,13.686,124.6,2655.413,2nd,20,0.001,0.006,0.136,0.018,0.167,3.562,NA
Q0.5,2nd-20p,3-1,0.26,2.368,50.456,3rd,20,0,0,0.003,0,0,0.007,NA
Q0.5,2nd-20p,4-1,10.257,93.385,1990.17,4th,20,0.001,0.005,0.102,0.001,0.005,0.112,NA
Q0.5,2nd-60p,1-7,1.526,13.89,296.01,1st,60,0,0.001,0.015,0.002,0.015,0.323,NA
Q0.5,2nd-60p,2-2,64.966,591.479,12605.287,2nd,60,0.003,0.03,0.646,0.087,0.794,16.911,NA
Q0.5,2nd-60p,3-1,0.09,0.824,17.55,3rd,60,0,0,0.001,0,0,0.003,NA
Q0.5,2nd-60p,4-1,19.818,180.429,3845.205,4th,60,0.001,0.009,0.197,0.001,0.01,0.217,NA
Q0.5,2nd-80p,1-7,1.327,12.078,257.4,1st,80,0,0.001,0.013,0.001,0.013,0.281,NA
Q0.5,2nd-80p,2-2,110.367,1004.83,21414.412,2nd,80,0.006,0.052,1.098,0.148,1.348,28.729,NA
Q0.5,2nd-80p,3-1,0.079,0.721,15.356,3rd,80,0,0,0.001,0,0,0.002,NA
Q0.5,2nd-80p,4-1,21.168,192.726,4107.285,4th,80,0.001,0.01,0.211,0.001,0.011,0.232,NA
Q0.5,unr,1-7,0,0,0,1st,0,0,0,0,0,0,0,NA
Q0.5,unr,2-2,0.052,0.474,10.091,2nd,0,0,0,0.001,0,0.001,0.014,NA
Q0.5,unr,3-1,0.317,2.882,61.425,3rd,0,0,0,0.003,0,0,0.009,NA
Q0.5,unr,4-1,5.129,46.692,995.085,4th,0,0,0.002,0.051,0,0.003,0.056,NA
Q1,2nd-100p,1-7,3.748,34.12,727.155,1st,100,0,0.001,0.02,0.004,0.033,0.706,NA
Q1,2nd-100p,2-2,208.158,1895.171,40388.887,2nd,100,0.006,0.052,1.106,0.165,1.503,32.023,NA
Q1,2nd-100p,3-1,46.706,425.235,9062.381,3rd,100,0.001,0.012,0.248,0.007,0.062,1.332,NA
Q1,2nd-100p,4-1,420.116,3823.016,81474.12,4th,100,0.011,0.105,2.23,0.015,0.133,2.83,NA
Q1,2nd-20p,1-7,3.748,34.12,727.155,1st,20,0,0.001,0.02,0.004,0.033,0.706,NA
Q1,2nd-20p,2-2,15.605,142.079,3027.911,2nd,20,0,0.004,0.083,0.012,0.113,2.401,NA
Q1,2nd-20p,3-1,54.53,496.468,10580.456,3rd,20,0.001,0.014,0.29,0.008,0.073,1.555,NA
Q1,2nd-20p,4-1,397.175,3614.149,77022.855,4th,20,0.011,0.099,2.108,0.014,0.126,2.676,NA
Q1,2nd-60p,1-7,3.748,34.12,727.155,1st,60,0,0.001,0.02,0.004,0.033,0.706,NA
Q1,2nd-60p,2-2,76.742,698.692,14890.151,2nd,60,0.002,0.019,0.408,0.061,0.554,11.806,NA
Q1,2nd-60p,3-1,51.296,467.027,9953.044,3rd,60,0.001,0.013,0.272,0.008,0.069,1.463,NA
Q1,2nd-60p,4-1,408.318,3715.605,79185.015,4th,60,0.011,0.102,2.167,0.014,0.129,2.751,NA
Q1,2nd-80p,1-7,3.748,34.12,727.155,1st,80,0,0.001,0.02,0.004,0.033,0.706,NA
Q1,2nd-80p,2-2,135.665,1235.156,26323.001,2nd,80,0.004,0.034,0.721,0.108,0.979,20.871,NA
Q1,2nd-80p,3-1,50.392,458.792,9777.544,3rd,80,0.001,0.013,0.268,0.007,0.067,1.437,NA
Q1,2nd-80p,4-1,413.869,3766.14,80262,4th,80,0.011,0.103,2.197,0.014,0.131,2.788,NA
Q1,unr,1-7,3.814,34.724,740.025,1st,0,0,0.001,0.02,0.004,0.034,0.719,NA
Q1,unr,2-2,10.835,98.648,2102.344,2nd,0,0,0.003,0.058,0.009,0.078,1.667,NA
Q1,unr,3-1,48.312,439.852,9373.894,3rd,0,0.001,0.012,0.257,0.007,0.065,1.378,NA
Q1,unr,4-1,393.735,3582.829,76355.37,4th,0,0.011,0.098,2.09,0.014,0.124,2.653,NA
Q2,2nd-100p,1-7,12.702,115.647,2464.605,1st,100,0,0.003,0.062,0.009,0.081,1.737,NA
Q2,2nd-100p,2-2,242.584,2208.604,47068.613,2nd,100,0.006,0.055,1.181,0.201,1.832,39.035,NA
Q2,2nd-100p,3-1,117.743,1071.991,22845.713,3rd,100,0.003,0.027,0.573,0.017,0.158,3.358,NA
Q2,2nd-100p,4-1,705.498,6420.308,136826.235,4th,100,0.018,0.161,3.432,0.019,0.177,3.78,NA
Q2,2nd-20p,1-7,12.702,115.647,2464.605,1st,20,0,0.003,0.062,0.009,0.081,1.737,NA
Q2,2nd-20p,2-2,43.17,393.041,8376.274,2nd,20,0.001,0.01,0.21,0.036,0.326,6.947,NA
Q2,2nd-20p,3-1,92.564,842.749,17960.231,3rd,20,0.002,0.021,0.451,0.014,0.124,2.64,NA
Q2,2nd-20p,4-1,690.809,6286.475,133974.068,4th,20,0.017,0.158,3.361,0.019,0.174,3.701,NA
Q2,2nd-60p,1-7,12.702,115.647,2464.605,1st,60,0,0.003,0.062,0.009,0.081,1.737,NA
Q2,2nd-60p,2-2,96.564,879.164,18736.283,2nd,60,0.002,0.022,0.47,0.08,0.729,15.538,NA
Q2,2nd-60p,3-1,100.693,916.761,19537.537,3rd,60,0.003,0.023,0.49,0.015,0.135,2.871,NA
Q2,2nd-60p,4-1,693.299,6309.149,134457.278,4th,60,0.017,0.158,3.373,0.019,0.174,3.714,NA
Q2,2nd-80p,1-7,12.702,115.647,2464.605,1st,80,0,0.003,0.062,0.009,0.081,1.737,NA
Q2,2nd-80p,2-2,167.263,1522.839,32453.948,2nd,80,0.004,0.038,0.814,0.139,1.263,26.915,NA
