Source Conc (mg/L),1,,,,,,,,,,,,
remaining hrs per year baseflow,7992,16 storms x 48 hr sim = 768 hrs. 8760 hrs per year -768 =7992,,,,,,,,,,,
Additional baseflow load (kg),21095,,,,,,,,,,,,
,,plan,,Storm Flux (kg),Storm Flux + Baseflow load,,,,,,,,
,,unr,0,11786,34824,,,,,,,,
,,1st-20p,20,11821,34859,,,,,,,,
,,1st-40p,40,11821,34859,,,,,,,,
,,1st-60p,60,11821,34859,,,,,,,,
,,1st-80p,80,11820,34858,,,,,,,,
,,1st-100p,100,11821,34858,,,,,,,,
,,unr,0,11786,34824,,,,,,,,
,,2nd-20p,20,11821,34858,,,,,,,,
,,2nd-60p,60,11817,34855,,,,,,,,
,,2nd-80p,80,11815,34853,,,,,,,,
,,2nd-100p,100,11812,34850,,,,,,,,
,,unr,0,11786,34824,,,,,,,,
,,3rd-20p,20,11819,34857,,,,,,,,
,,3rd-40p,40,11817,34855,,,,,,,,
,,3rd-60p,60,11813,34851,,,,,,,,
,,3rd-80p,80,11808,34846,,,,,,,,
,,3rd-100p,100,11804,34841,,,,,,,,
,,unr,0,11786,34824,,,,,,,,
,,4th-20p,20,11811,34849,,,,,,,,
,,4th-40p,40,11798,34836,,,,,,,,
,,4th-60p,60,11781,34819,,,,,,,,
,,4th-80p,80,11761,34799,,,,,,,,
,,4th-100p,100,11738,34776,,,,,,,,
,,,,,,,,,,,,,
,25.89,Q1,1,2878440,3rd-60p,3rd,60,705.3298538,6419.546213,136810.0013,2878440,6419.546213,
,25.89,Q0.5,2,1770751,3rd-60p,3rd,60,191.3695875,1742.320125,37131.4125,3541502,3484.64025,
,25.89,Qm,12,149414,3rd-60p,3rd,60,0,0,0,1792968,0,11813
,,,,,,,,,,,,,
,25.89,Q2,1,3620193,3rd-80p,3rd,80,1247.17284,11351.68673,241921.1925,3620193,11351.68673,
,25.89,Q1,1,2878440,3rd-80p,3rd,80,852.8447588,7762.592363,165432.2963,2878440,7762.592363,
,25.89,Q0.5,2,1770751,3rd-80p,3rd,80,304.4632425,2771.978775,59074.9575,3541502,5543.95755,
,25.89,Qm,12,149414,3rd-80p,3rd,80,0,0,0,1792968,0,11808
,,,,,,,,,,,,,
,25.89,Q2,1,3620193,3rd-100p,3rd,100,1387.853745,12632.4168,269215.44,3620193,12632.4168,
,25.89,Q1,1,2878440,3rd-100p,3rd,100,993.210345,9040.5477,192667.41,2878440,9040.5477,
,25.89,Q0.5,2,1770751,3rd-100p,3rd,100,432.311805,3935.97315,83881.395,3541502,7871.9463,
,25.89,Qm,12,149414,3rd-100p,3rd,100,0,0,0,1792968,0,11804
,,,,,,,,,,,,,
,25.89,Q2,1,3620193,4th-20p,4th,20,1184.178435,10778.34772,229702.4925,3620193,10778.34772,
,25.89,Q1,1,2878440,4th-20p,4th,20,773.0722138,7036.401088,149956.0888,2878440,7036.401088,
,25.89,Q0.5,2,1770751,4th-20p,4th,20,243.4437463,2216.428138,47235.35375,3541502,4432.856275,
,25.89,Qm,12,149414,4th-20p,4th,20,0,0,0,1792968,0,11811
,,,,,,,,,,,,,
,25.89,Q2,1,3620193,4th-40p,4th,40,1599.16404,14556.8631,310228.23,3620193,14556.8631,
,25.89,Q1,1,2878440,4th-40p,4th,40,1180.087499,10742.44694,228937.3938,2878440,10742.44694,
,25.89,Q0.5,2,1770751,4th-40p,4th,40,532.3956513,4847.184288,103300.6488,3541502,9694.368575,
,25.89,Qm,12,149414,4th-40p,4th,40,0,0,0,1792968,0,11798
,,,,,,,,,,,,,
,25.89,Q2,1,3620193,4th-60p,4th,60,2069.945235,18843.2721,401577.93,3620193,18843.2721,
,25.89,Q1,1,2878440,4th-60p,4th,60,1679.306509,15287.67131,325802.8313,2878440,15287.67131,
,25.89,Q0.5,2,1770751,4th-60p,4th,60,967.4383763,8808.021038,187711.9238,3541502,17616.04208,
,25.89,Qm,12,149414,4th-60p,4th,60,0,0,0,1792968,0,11781
,,,,,,,,,,,,,
,25.89,Q2,1,3620193,4th-80p,4th,80,2636.04264,23997.38933,511419.7725,3620193,23997.38933,
,25.89,Q1,1,2878440,4th-80p,4th,80,2263.316364,20604.87204,439120.2238,2878440,20604.87204,
,25.89,Q0.5,2,1770751,4th-80p,4th,80,1519.108001,13830.68479,294752.2988,3541502,27661.36958,
,25.89,Qm,12,149414,4th-80p,4th,80,0,0,0,1792968,0,11761
,,,,,,,,,,,,,
,25.89,Q2,1,3620193,4th-100p,4th,100,3233.448308,29429.14348,627178.4675,3620193,29429.14348,
,25.89,Q1,1,2878440,4th-100p,4th,100,2901.535081,26407.84169,562790.0688,2878440,26407.84169,
,25.89,Q0.5,2,1770751,4th-100p,4th,100,2177.725539,19819.61904,422385.3238,3541502,39639.23808,
,25.89,Qm,12,149414,4th-100p,4th,100,0,0,0,1792968,0,11738
