,storm,plan,river,removal_k10_g,removal_km_g,removal_k90_g,order,percentRest,sort_storm,sort_order,,
130,Q1,2nd-80p,2-Feb,135.6646988,1235.156213,26323.00125,2nd,80,1,2,,
131,Q1,2nd-80p,1-Mar,50.39195625,458.7924375,9777.54375,3rd,80,1,2,,
132,Q1,2nd-80p,1-Apr,413.86905,3766.14,80262,4th,80,1,2,,
133,Q1,unr,7-Jan,3.813975,34.72425,740.025,1st,0,1,0,,
134,Q1,unr,2-Feb,10.83515625,98.6484375,2102.34375,2nd,0,1,0,,
135,Q1,unr,1-Mar,48.31160625,439.8519375,9373.89375,3rd,0,1,0,,
136,Q1,unr,1-Apr,393.73488,3582.8289,76355.37,4th,0,1,0,,
137,Q2,2nd-100p,7-Jan,12.702195,115.64685,2464.605,1st,100,2,2,,
138,Q2,2nd-100p,2-Feb,242.5843875,2208.604125,47068.6125,2nd,100,2,2,,
139,Q2,2nd-100p,1-Mar,117.7432875,1071.991125,22845.7125,3rd,100,2,2,,
140,Q2,2nd-100p,1-Apr,705.49794,6420.30795,136826.235,4th,100,2,2,,
141,Q2,2nd-20p,7-Jan,12.702195,115.64685,2464.605,1st,20,2,2,,
142,Q2,2nd-20p,2-Feb,43.17002625,393.0405375,8376.27375,2nd,20,2,2,,
143,Q2,2nd-20p,1-Mar,92.56426875,842.7493125,17960.23125,3rd,20,2,2,,
144,Q2,2nd-20p,1-Apr,690.80886,6286.475475,133974.0675,4th,20,2,2,,
145,Q2,2nd-60p,7-Jan,12.702195,115.64685,2464.605,1st,60,2,2,,
146,Q2,2nd-60p,2-Feb,96.5639175,879.164025,18736.2825,2nd,60,2,2,,
147,Q2,2nd-60p,1-Mar,100.6934625,916.761375,19537.5375,3rd,60,2,2,,
148,Q2,2nd-60p,1-Apr,693.29925,6309.149175,134457.2775,4th,60,2,2,,
149,Q2,2nd-80p,7-Jan,12.702195,115.64685,2464.605,1st,80,2,2,,
150,Q2,2nd-80p,2-Feb,167.2626525,1522.839075,32453.9475,2nd,80,2,2,,
151,Q2,2nd-80p,1-Mar,109.3766625,995.817375,21222.3375,3rd,80,2,2,,
152,Q2,2nd-80p,1-Apr,702.100035,6389.3718,136166.94,4th,80,2,2,,
153,Q2,unr,7-Jan,12.73536,115.9488,2471.04,1st,0,2,0,,
154,Q2,unr,2-Feb,30.97987875,282.0556125,6011.02125,2nd,0,2,0,,
155,Q2,unr,1-Mar,98.24000625,894.4239375,19061.49375,3rd,0,2,0,,
156,Q2,unr,1-Apr,686.102445,6243.626025,133060.8825,4th,0,2,0,,
157,Qm,2nd-100p,7-Jan,0,0,0,1st,100,0,2,,
158,Qm,2nd-100p,2-Feb,11.2032375,101.999625,2173.7625,2nd,100,0,2,,
159,Qm,2nd-100p,1-Mar,0,0,0,3rd,100,0,2,,
160,Qm,2nd-100p,1-Apr,0,0,0,4th,100,0,2,,
161,Qm,2nd-20p,7-Jan,0,0,0,1st,20,0,2,,
162,Qm,2nd-20p,2-Feb,1.4044875,12.787125,272.5125,2nd,20,0,2,,
163,Qm,2nd-20p,1-Mar,0,0,0,3rd,20,0,2,,
164,Qm,2nd-20p,1-Apr,0,0,0,4th,20,0,2,,
165,Qm,2nd-60p,7-Jan,0,0,0,1st,60,0,2,,
166,Qm,2nd-60p,2-Feb,10.2886875,93.673125,1996.3125,2nd,60,0,2,,
167,Qm,2nd-60p,1-Mar,0,0,0,3rd,60,0,2,,
168,Qm,2nd-60p,1-Apr,0,0,0,4th,60,0,2,,
169,Qm,2nd-80p,7-Jan,0,0,0,1st,80,0,2,,
170,Qm,2nd-80p,2-Feb,12.7057125,115.678875,2465.2875,2nd,80,0,2,,
171,Qm,2nd-80p,1-Mar,0,0,0,3rd,80,0,2,,
172,Qm,2nd-80p,1-Apr,0,0,0,4th,80,0,2,,
173,Qm,unr,7-Jan,0,0,0,1st,0,0,0,,
174,Qm,unr,2-Feb,0,0,0,2nd,0,0,0,,
175,Qm,unr,1-Mar,0,0,0,3rd,0,0,0,,
176,Qm,unr,1-Apr,0,0,0,4th,0,0,0,,
177,Q0.5,3rd-100p,7-Jan,1.39293,12.6819,270.27,1st,100,0.5,3,,
178,Q0.5,3rd-100p,2-Feb,0,0,0,2nd,100,0.5,3,,
179,Q0.5,3rd-100p,1-Mar,430.918875,3923.29125,83611.125,3rd,100,0.5,3,,
180,Q0.5,3rd-100p,1-Apr,0,0,0,4th,100,0.5,3,,
181,Q0.5,3rd-20p,7-Jan,1.39293,12.6819,270.27,1st,20,0.5,3,,
182,Q0.5,3rd-20p,2-Feb,0,0,0,2nd,20,0.5,3,,
183,Q0.5,3rd-20p,1-Mar,32.95395,300.0285,6394.05,3rd,20,0.5,3,,
184,Q0.5,3rd-20p,1-Apr,19.20555,174.8565,3726.45,4th,20,0.5,3,,
185,Q0.5,3rd-40p,7-Jan,1.39293,12.6819,270.27,1st,40,0.5,3,,
186,Q0.5,3rd-40p,2-Feb,0,0,0,2nd,40,0.5,3,,
187,Q0.5,3rd-40p,1-Mar,88.0254375,801.425625,17079.5625,3rd,40,0.5,3,,
188,Q0.5,3rd-40p,1-Apr,21.210525,193.11075,4115.475,4th,40,0.5,3,,
189,Q0.5,3rd-60p,7-Jan,1.39293,12.6819,270.27,1st,60,0.5,3,,
190,Q0.5,3rd-60p,2-Feb,0,0,0,2nd,60,0.5,3,,
191,Q0.5,3rd-60p,1-Mar,178.0734375,1621.265625,34551.5625,3rd,60,0.5,3,,
192,Q0.5,3rd-60p,1-Apr,11.90322,108.3726,2309.58,4th,60,0.5,3,,
193,Q0.5,3rd-80p,7-Jan,1.39293,12.6819,270.27,1st,80,0.5,3,,
194,Q0.5,3rd-80p,2-Feb,0,0,0,2nd,80,0.5,3,,
195,Q0.5,3rd-80p,1-Mar,303.0703125,2759.296875,58804.6875,3rd,80,0.5,3,,
196,Q0.5,3rd-80p,1-Apr,0,0,0,4th,80,0.5,3,,
197,Q0.5,unr,7-Jan,0,0,0,1st,0,0.5,0,,
198,Q0.5,unr,2-Feb,0.05200875,0.4735125,10.09125,2nd,0,0.5,0,,
199,Q0.5,unr,1-Mar,0.316575,2.88225,61.425,3rd,0,0.5,0,,
200,Q0.5,unr,1-Apr,5.128515,46.69245,995.085,4th,0,0.5,0,,
201,Q1,3rd-100p,7-Jan,3.813975,34.72425,740.025,1st,100,1,3,,
202,Q1,3rd-100p,2-Feb,10.95651,99.7533,2125.89,2nd,100,1,3,,
203,Q1,3rd-100p,1-Mar,565.689375,5150.30625,109760.625,3rd,100,1,3,,
204,Q1,3rd-100p,1-Apr,412.750485,3755.7639,80040.87,4th,100,1,3,,
205,Q1,3rd-20p,7-Jan,3.813975,34.72425,740.025,1st,20,1,3,,
206,Q1,3rd-20p,2-Feb,10.81782,98.4906,2098.98,2nd,20,1,3,,
207,Q1,3rd-20p,1-Mar,100.3178438,913.3415625,19464.65625,3rd,20,1,3,,
208,Q1,3rd-20p,1-Apr,404.561745,3681.305775,78454.0575,4th,20,1,3,,
209,Q1,3rd-40p,7-Jan,3.813975,34.72425,740.025,1st,40,1,3,,
210,Q1,3rd-40p,2-Feb,10.81782,98.4906,2098.98,2nd,40,1,3,,
211,Q1,3rd-40p,1-Mar,167.0121563,1520.558438,32405.34375,3rd,40,1,3,,
212,Q1,3rd-40p,1-Apr,408.04407,3713.010525,79129.7325,4th,40,1,3,,
213,Q1,3rd-60p,7-Jan,3.813975,34.72425,740.025,1st,60,1,3,,
214,Q1,3rd-60p,2-Feb,10.9218375,99.437625,2119.1625,2nd,60,1,3,,
215,Q1,3rd-60p,1-Mar,285.5468813,2599.755188,55404.61875,3rd,60,1,3,,
216,Q1,3rd-60p,1-Apr,405.04716,3685.62915,78546.195,4th,60,1,3,,
217,Q1,3rd-80p,7-Jan,3.813975,34.72425,740.025,1st,80,1,3,,
218,Q1,3rd-80p,2-Feb,10.95651,99.7533,2125.89,2nd,80,1,3,,
219,Q1,3rd-80p,1-Mar,425.6614688,3875.425313,82591.03125,3rd,80,1,3,,
220,Q1,3rd-80p,1-Apr,412.412805,3752.6895,79975.35,4th,80,1,3,,
221,Q1,unr,7-Jan,3.813975,34.72425,740.025,1st,0,1,0,,
222,Q1,unr,2-Feb,10.83515625,98.6484375,2102.34375,2nd,0,1,0,,
223,Q1,unr,1-Mar,48.31160625,439.8519375,9373.89375,3rd,0,1,0,,
224,Q1,unr,1-Apr,393.73488,3582.8289,76355.37,4th,0,1,0,,
225,Q2,3rd-100p,7-Jan,12.73536,115.9488,2471.04,1st,100,2,3,,
226,Q2,3rd-100p,2-Feb,31.06656,282.8448,6027.84,2nd,100,2,3,,
227,Q2,3rd-100p,1-Mar,626.692875,5705.71125,121597.125,3rd,100,2,3,,
228,Q2,3rd-100p,1-Apr,717.35895,6527.91195,139119.435,4th,100,2,3,,
229,Q2,3rd-20p,7-Jan,12.73536,115.9488,2471.04,1st,20,2,3,,
230,Q2,3rd-20p,2-Feb,30.9625425,281.897775,6007.6575,2nd,20,2,3,,
231,Q2,3rd-20p,1-Mar,164.36775,1496.4825,31892.25,3rd,20,2,3,,
232,Q2,3rd-20p,1-Apr,690.00687,6279.173775,133818.4575,4th,20,2,3,,
233,Q2,3rd-40p,7-Jan,12.73536,115.9488,2471.04,1st,40,2,3,,
234,Q2,3rd-40p,2-Feb,30.9625425,281.897775,6007.6575,2nd,40,2,3,,
235,Q2,3rd-40p,1-Mar,239.9123438,2184.276563,46550.15625,3rd,40,2,3,,
236,Q2,3rd-40p,1-Apr,695.57859,6329.8053,134897.49,4th,40,2,3,,
237,Q2,3rd-60p,7-Jan,12.73536,115.9488,2471.04,1st,60,2,3,,
238,Q2,3rd-60p,2-Feb,30.9625425,281.897775,6007.6575,2nd,60,2,3,,
239,Q2,3rd-60p,1-Mar,354.1305938,3224.174063,68711.90625,3rd,60,2,3,,
240,Q2,3rd-60p,1-Apr,703.97838,6406.281,136527.3,4th,60,2,3,,
241,Q2,3rd-80p,7-Jan,12.73536,115.9488,2471.04,1st,80,2,3,,
242,Q2,3rd-80p,2-Feb,31.06656,282.8448,6027.84,2nd,80,2,3,,
243,Q2,3rd-80p,1-Mar,490.887225,4469.27175,95246.775,3rd,80,2,3,,
244,Q2,3rd-80p,1-Apr,712.483695,6483.621375,138175.5375,4th,80,2,3,,
245,Q2,unr,7-Jan,12.73536,115.9488,2471.04,1st,0,2,0,,
246,Q2,unr,2-Feb,30.97987875,282.0556125,6011.02125,2nd,0,2,0,,
247,Q2,unr,1-Mar,98.24000625,894.4239375,19061.49375,3rd,0,2,0,,
248,Q2,unr,1-Apr,686.102445,6243.626025,133060.8825,4th,0,2,0,,
249,Qm,3rd-100p,7-Jan,0,0,0,1st,100,0,3,,
250,Qm,3rd-100p,2-Feb,0,0,0,2nd,100,0,3,,
251,Qm,3rd-100p,1-Mar,0,0,0,3rd,100,0,3,,
252,Qm,3rd-100p,1-Apr,0,0,0,4th,100,0,3,,
