OBJECTID,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,LengthKM,ReachCode,FlowDir,WBArea_Permanent_Identifier,FType,FCode,MainPath,InNetwork,VisibilityFilter,Shape_Length,NHDPlusID,VPUID,Enabled
31646,125919602,3/9/2012 10:35:33,2,,,0.775000000000000,02060003000744,1,,460,46006,0,1,0,0.008517903838541,10000400005418.000000000000000,0206,1
31696,125920353,3/9/2012 10:33:59,2,,,0.385000000000000,02060003008305,1,,460,46006,0,1,0,0.004288041741273,10000400005502.000000000000000,0206,1
31810,125920351,3/9/2012 10:32:38,2,,,0.526000000000000,02060003000745,1,,460,46006,0,1,0,0.005082966859478,10000400014805.000000000000000,0206,1
31811,125919700,3/9/2012 10:34:31,2,,,0.326000000000000,02060003008228,1,,460,46003,0,1,0,0.003477982190616,10000400014806.000000000000000,0206,1
31812,125920605,3/9/2012 10:34:53,2,,,0.057000000000000,02060003008171,1,,334,33400,0,1,0,0.000669145035584,10000400014807.000000000000000,0206,1
31813,125920609,3/9/2012 10:34:55,2,,,0.187000000000000,02060003008185,1,,334,33400,0,1,0,0.002176982190209,10000400014808.000000000000000,0206,1
31814,125920604,3/9/2012 10:34:26,2,,,0.266000000000000,02060003008376,1,,460,46006,0,1,0,0.002424795081386,10000400014809.000000000000000,0206,1
31815,125920449,3/9/2012 10:35:25,2,,,0.352000000000000,02060003008345,1,,460,46006,0,1,0,0.003985592067339,10000400014810.000000000000000,0206,1
32181,125919702,6/10/2016 0:00:00,2,,,0.376151220000000,02060003000744,1,,460,46006,0,1,0,0.004005657453014,10000400005419.000000000000000,0206,1
32182,125920608,6/10/2016 0:00:00,2,,,0.609854470000000,02060003000744,1,,460,46006,0,1,0,0.006850256086834,10000400005420.000000000000000,0206,1
32183,125919923,3/9/2012 10:32:53,2,00597317,Dead Run,0.078000000000000,02060003000743,1,125924152,558,55800,0,1,0,0.000752602132245,10000400005421.000000000000000,0206,1
33910,125920554,6/10/2016 0:00:00,2,,,1.109957040000000,02060003000745,1,,460,46006,0,1,0,0.010407913215755,10000400028836.000000000000000,0206,1
33911,125920450,3/9/2012 10:35:28,2,,,0.290000000000000,02060003008346,1,,460,46006,0,1,0,0.002598771169447,10000400028837.000000000000000,0206,1
34021,125920448,3/9/2012 10:32:38,2,,,0.584000000000000,02060003000745,1,,460,46006,0,1,0,0.005400670005250,10000400028838.000000000000000,0206,1
34022,125920459,3/9/2012 10:31:50,2,,,0.935000000000000,02060003008348,1,,460,46006,0,1,0,0.009011646170059,10000400028839.000000000000000,0206,1
34023,125920536,6/10/2016 0:00:00,2,00597317,Dead Run,1.261266510000000,02060003000742,1,,460,46006,0,1,0,0.014299137304705,10000400028840.000000000000000,0206,1
35308,125920451,3/9/2012 10:32:38,2,,,0.232000000000000,02060003000745,1,,460,46006,0,1,0,0.002078197470791,10000400010191.000000000000000,0206,1
