reach,STA,profile,hr,min,RtopW_ft,LtopW_ft
1,165400,1-Sep-08,13,10,,
1,165400,1-Sep-08,13,20,,
1,165400,1-Sep-08,13,30,,
1,165400,1-Sep-08,13,40,,
1,165400,1-Sep-08,13,50,,
1,165400,1-Sep-08,14,0,,
1,165400,1-Sep-08,14,10,,
1,165400,1-Sep-08,14,20,,
1,165400,1-Sep-08,14,30,,
1,165400,1-Sep-08,14,40,,
1,165400,1-Sep-08,14,50,,
1,165400,1-Sep-08,15,0,,
1,165400,1-Sep-08,15,10,,
1,165400,1-Sep-08,15,20,,
1,165400,1-Sep-08,15,30,,
1,165400,1-Sep-08,15,40,,
1,165400,1-Sep-08,15,50,,
1,165400,1-Sep-08,16,0,,
1,165400,1-Sep-08,16,10,,
1,165400,1-Sep-08,16,20,,
1,165400,1-Sep-08,16,30,,
1,165400,1-Sep-08,16,40,,
1,165400,1-Sep-08,16,50,,
1,165400,1-Sep-08,17,0,,
1,165400,1-Sep-08,17,10,,
1,165400,1-Sep-08,17,20,,
1,165400,1-Sep-08,17,30,,
1,165400,1-Sep-08,17,40,,
1,165400,1-Sep-08,17,50,,
1,165400,1-Sep-08,18,0,,
1,165400,1-Sep-08,18,10,,
1,165400,1-Sep-08,18,20,,
1,165400,1-Sep-08,18,30,,
1,165400,1-Sep-08,18,40,,
1,165400,1-Sep-08,18,50,,
1,165400,1-Sep-08,19,0,,
1,165400,1-Sep-08,19,10,,
1,165400,1-Sep-08,19,20,,
1,165400,1-Sep-08,19,30,,
1,165400,1-Sep-08,19,40,,
1,165400,1-Sep-08,19,50,,
1,165400,1-Sep-08,20,0,,
1,165400,1-Sep-08,20,10,,
1,165400,1-Sep-08,20,20,,
1,165400,1-Sep-08,20,30,,
1,165400,1-Sep-08,20,40,,
1,165400,1-Sep-08,20,50,,
1,165400,1-Sep-08,21,0,,
1,165400,1-Sep-08,21,10,,
1,165400,1-Sep-08,21,20,,
1,165400,1-Sep-08,21,30,,
1,165400,1-Sep-08,21,40,,
1,165400,1-Sep-08,21,50,,
1,165400,1-Sep-08,22,0,,
1,165400,1-Sep-08,22,10,,
1,165400,1-Sep-08,22,20,,
1,165400,1-Sep-08,22,30,,
1,165400,1-Sep-08,22,40,,
1,165400,1-Sep-08,22,50,,
1,165400,1-Sep-08,23,0,,
1,165400,1-Sep-08,23,10,,
1,165400,1-Sep-08,23,20,,
1,165400,1-Sep-08,23,30,,
1,165400,1-Sep-08,23,40,,
1,165400,1-Sep-08,23,50,,
1,165400,2-Sep-08,0,0,,
1,165400,2-Sep-08,0,10,,
1,165400,2-Sep-08,0,20,,
1,165400,2-Sep-08,0,30,,
