reach,STA,profile,hr,min,RtopW_ft,LtopW_ft
1,138450,1-Sep-08,7,50,,
1,138450,1-Sep-08,7,55,,
1,138450,1-Sep-08,8,0,,
1,138450,1-Sep-08,8,5,,
1,138450,1-Sep-08,8,10,,
1,138450,1-Sep-08,8,15,,
1,138450,1-Sep-08,8,20,,
1,138450,1-Sep-08,8,25,,
1,138450,1-Sep-08,8,30,,
1,138450,1-Sep-08,8,35,,
1,138450,1-Sep-08,8,40,,
1,138450,1-Sep-08,8,45,,
1,138450,1-Sep-08,8,50,,
1,138450,1-Sep-08,8,55,,
1,138450,1-Sep-08,9,0,,
1,138450,1-Sep-08,9,5,,
1,138450,1-Sep-08,9,10,,
1,138450,1-Sep-08,9,15,,
1,138450,1-Sep-08,9,20,,
1,138450,1-Sep-08,9,25,,
1,138450,1-Sep-08,9,30,,
1,138450,1-Sep-08,9,35,,
1,138450,1-Sep-08,9,40,,
1,138450,1-Sep-08,9,45,,
1,138450,1-Sep-08,9,50,,
1,138450,1-Sep-08,9,55,,
1,138450,1-Sep-08,10,0,,
1,138450,1-Sep-08,10,5,,
1,138450,1-Sep-08,10,10,,
1,138450,1-Sep-08,10,15,,
1,138450,1-Sep-08,10,20,,
1,138450,1-Sep-08,10,25,,
1,138450,1-Sep-08,10,30,,
1,138450,1-Sep-08,10,35,,
1,138450,1-Sep-08,10,40,,
1,138450,1-Sep-08,10,45,,
1,138450,1-Sep-08,10,50,,
1,138450,1-Sep-08,10,55,,
1,138450,1-Sep-08,11,0,,
1,138450,1-Sep-08,11,5,,
1,138450,1-Sep-08,11,10,,
1,138450,1-Sep-08,11,15,,
1,138450,1-Sep-08,11,20,,
1,138450,1-Sep-08,11,25,,
1,138450,1-Sep-08,11,30,,
1,138450,1-Sep-08,11,35,,
1,138450,1-Sep-08,11,40,,
1,138450,1-Sep-08,11,45,,
1,138450,1-Sep-08,11,50,,
1,138450,1-Sep-08,11,55,,
1,138450,1-Sep-08,12,0,,
